Entity1,Relationship,Entity2
atcs official,agreed,staff
staff,were,diligent
staff,were,deficient
atcs official,indicated,staff
atcs official,trusted,staff
staff,were,professional
atcs official,realized,effort
atcs official,should have devoted,supervision
atcs official,indicated,superiors
superiors,approved,bills
bills,were in,petty cash binders
petty cash binders,included,52500 present for international staff
petty cash binders,included,41000 present for official 3
petty cash binders,included,nokia 8850
petty cash binders,included,91800 palm organizer for the atcs official
petty cash binders,included,official 3
petty cash binders,included,117600 recharging scratch cards
petty cash binders,included,vala 900
petty cash binders,included,202352
petty cash binders,included,12588
petty cash binders,included,96000 payment for mobile phone
petty cash binders,included,94000 rent a car for head of department
atcs official,stated,presents purchased from petty cash
presents purchased from petty cash,were,approved
atcs official,could not support,claim
claim,with,documentation
atcs official,added,bills not authorized
bills not authorized,conditioned,further cash withdrawals
further cash withdrawals,was conditioned by,proper documentation
proper documentation,and,certification of previous spending
atcs official,insisted,sums paid for refreshmentsfoodrestaurant bills
sums paid for refreshmentsfoodrestaurant bills,were,authorized
superiors,did not request,written justifications
bill,was,sufficient proof of expenditure
itf,interviewed,atcs official
atcs official,acknowledged,cases 462002 492002 552002 592002
cases 462002 492002 552002 592002,show,numerous irregularities
atcs official,studied,those files
those files,contained,sufficient information
sufficient information,justified,allocation of money for planned travel of atcs staff
documentation of expenses,was,very poor
atcs official,acknowledged,cases 012002 052002 062002 072002 082002
cases 012002 052002 062002 072002 082002,showed,numerous irregularities
irregularities,included,missing bills
missing bills,prove,payments
missing signatures of atcs staff,prove,received perdiem
missing flight ticket and boarding passes,prove,travel executed
itf,concluded,funds likely paid to atcs employees
funds,were paid to,atcs employees
sufficient documentation,was not available to,itf investigators
atcs official,was certifying,his/her own expenses
atcs official,could not provide,acceptable explanations
division manager,said,atcs official
atcs official,would bring,request
request,would detail,need for cash
division manager,found,justification
justification,in line with,needs of the airport
division manager,would approve,it
atcs official,would be responsible for,proper use of funds
atcs official,would keep,financial records
atcs official,had to sign for,bank check
bank check,could be cashed at,bank
atcs official,had,cash
cash,in custody of,atcs official
division manager,indicated,not possible to check every bill and invoice
division manager,delegated,authority for financial management
authority for financial management,to,atcs official
itf,interviewed,official 1
official 1,travelled with,atcs official
official 1,travelled with,official 3
official 1,travelled to,uk
official 1,negotiated,conditions
official 1,finetuned,training arrangements
official 1,received,free accommodation
official 1,received,all meals
official 1,received,transport
transport,from,shinfield park
transport,to,london
official 1,returned to,prishtina
official 1,was not requested to return,perdiem
atcs official,did not return,allocated funds
official 3,did not return,allocated funds
atcs bank account,has cash withdrawals,cash
atcs bank account,has withdrawals,10000 increments
atcs bank account,has total withdrawal amount,642000
withdrawals,are for,air travel and related expenses
atcs official,travels frequently,trips
atcs official,is in charge of,department
department,includes,atcs finance office
finance officer 1,is employed as,atcs finance officer
finance officer 2,is employed as,atcs finance officer
finance officer 1,is supervised by,atcs official
finance officer 2,is supervised by,atcs official
division manager,was appointed,unmik pillar 4
division manager,has responsibility for,pristina airport
atcs official,was working at,atcs
finance officer 1,was working at,atcs
finance officer 2,was working at,atcs
itf investigation,focused on,examination of travel arrangements
itf investigation,focused on,examination of cash expenses
atcs staff,related to,official travel
atcs petty cash,handled during,investigation
itf investigators,reviewed,existing procedures
existing procedures,related to,cash withdrawals
cash withdrawals,in,2002
cash withdrawals,in,2003
procedures,were followed by,management of atcs
management of atcs,examined,atcs bank account
atcs bank account,related to,related records
itf investigators,examined,cash withdrawal requests
cash withdrawal requests,supported by,documentation and receipts
documentation and receipts,including,airline tickets
documentation and receipts,including,hotel bills
documentation and receipts,including,other receipts
itf investigation,focused on,examination of travel arrangements
itf investigation,focused on,cash expenses
atcs staff,related to,official travel
atcs petty cash,handled during,investigation
itf investigators,reviewed,petty cash files
itf investigators,crosschecked,staff details
staff details,on record,employment roles
employment roles,during,time period in question
staff,authorized,cash withdrawals
cash withdrawals,from,atcs bank account
signatures,found on,examined documents
signatures,against,staff files
specific sums,against,airport excel cash spreadsheets
excel spreadsheet system,has been in place since,mid2002
excel spreadsheet system,used to maintain,cashbook
itf investigators,interviewed,atcs staff
itf investigators,interviewed,division manager
itf investigators,interviewed,atcs officials
itf investigators,interviewed,finance officers 1 and 2
itf investigators,interviewed,official 1
official 1,at,prishtina airport
itf investigators,interviewed,official 2
official 2,at,prishtina airport
itf investigators,identified,problems
itf investigators,interviewed,atcs staff
atcs staff,involved in,approving cash withdrawals
atcs staff,handled,cash
atcs staff,handled,related documentation
atcs staff,travelled on training to,italy
atcs staff,travelled on training to,united kingdom
finance officer 1,worked at,atcs finance office
finance officer 1,described,procedures
finance officer 1,identified,employee 1
finance officer 1,identified,employee 2
finance officer 1,identified,division manager
employee 1,is a,class signatory
employee 2,is a,class signatory
division manager,is a,class signatory
employee 3,is a,b class signatory
employee 4,is a,b class signatory
employee 5,is a,b class signatory
atcs official,is a,b class signatory
a class signatories,authorized to withdraw,cash
a class signatories,withdraw from,atcs bank accounts
kta,applies,unmik regulation no 200127
unmik regulation no 200127,dated,8-Oct-01
unmik regulation no 200127,covers,essential labour law in Kosovo
essential labour law in Kosovo,includes,termination of a labour contract
termination of a labour contract,states,serious misconduct
serious misconduct,includes,unjustified refusal to perform obligations
serious misconduct,includes,theft
serious misconduct,includes,destruction
serious misconduct,includes,damage
serious misconduct,includes,unauthorized use of employers assets
serious misconduct,includes,disclosure of business secrets
serious misconduct,includes,consumption of drugs or alcohol at work
serious misconduct,includes,behavior of serious nature
unsatisfactory performance,includes,unjustified absence from work
unsatisfactory performance,includes,repeated mistakes
repeated mistakes,disrupts,normal course of the employment relationship
finance officer 2,interviewed by,itf
finance officer 2,working at,atcs finance office
finance officer 2,employed by,atcs
finance officer 2,provided information about,financial procedures and practices
finance officer 2,found,atcs finance office
atcs finance office,to be,disorganized
finance officer 2,suggested improvements to,atcs official
atcs official,told,finance officer 2
finance officer 2,concerned about,losing job
finance officer 2,decided to work as instructed by,atcs official
ITF,interviewed,official 4
official 4,was requested to review,several files
several files,related to,business travel of ATCS staff
ATCS staff,planned travel of,ATCS staff
file 462002,suggests that,document might have been created after the fact
request,submitted for approval on,25-May-02
approval dates,written on,document
documents attached to request 552002,were,printouts indicating flight reservations
four files,contained,original flight tickets
four files,contained,boarding passes
four files,contained,original bills
funds allocated to the travellers,were provided to,them by the ATCS official
travellers,did not sign for,funds allocated
official 4,requested to review,files dated after 01 july 2002
official 4,concluded that,files revealed absence of required documentation
files,identified in,paragraph 16
official 4,asked to review,several files related to petty cash transactions
official 4,concluded that,significant efforts were made by the atcs official
atcs official,justified,cash withdrawals
cash,appeared to have been provided,funds
funds,were spent,very little effort to properly document
itf investigators,interviewed,division manager
division manager,explained,staff travel expenses
staff travel expenses,were high because of,necessity to train nineteen air traffic controllers
staff travel expenses,were high because of,necessity to train seven meteorological forecasters
staff travel expenses,were high because of,necessity to train six aeronautical information service officers
nineteen air traffic controllers,received,classroom and on-the-job training
seven meteorological forecasters,received,classroom and on-the-job training
six aeronautical information service officers,received,classroom and on-the-job training
classroom and on-the-job training,was around,the world
pristina airport,was responsible for,expenses incurred
division manager,was aware that,atcs official
atcs official,was the supervisor of,many of those who travelled
atcs official,would frequently visit,staff
staff,were undertaking,their respective courses
finance officer 1,confirmed,division manager
division manager,supervised,atcs official
atcs official,supervised,atcs finance office
finance officer 1,prepared,request for cash withdrawal
request for cash withdrawal,signed by,atcs official
request for cash withdrawal,assessed and approved by,division manager
finance officer 1,reviewed,documentation related to the travel of atcs staff
atcs,taken over by,unmik pillar 4 kta
finance officer 1,established,requests for cash
requests for cash,had,proper justification
requests for cash,lacked,documentation
finance officer 1,provided,satisfactory explanations
atcs official,made,checks of the financial files
finance assistant 1,claimed,footer
idoios,asked,photocopies of the forged faxes
photocopying assistant 1,was a relative of,finance department supervisor
photocopying assistant 2,was the daughter of,finance assistant 2
photocopying assistant 2,assisted,father
oios,was informed that,two assistants helped in the preparation of the end of month financial returns
two assistants,helped in,preparation of the end of month financial returns
photocopying assistant 1,was working at,finance office
undp bratislava,relies on,authorizing signatures on the faxes
undp bratislava,maintains,signin sheet
signin sheet,requires,signature and identity information
undp bratislava,disperses,cheques
cheques,upon proof of,identity
payee,signs,original cash disbursement voucher
finance office,does not retain,copy of the payees proof of identification
undp bratislava,does not maintain,mail log
procedures for reconciling accounts,were in place,unon and undp
unon,did not attempt to reconcile,august 2002 undp bratislava account
unep narobi,stated that,it has had several problems with fraudulent payments
staff member,wrote email to,mr mzumara
staff member,wrote email to,mr dickson mzumara
mr dickson mzumara,is,officerincharge of the eca sub regional office
mr dickson mzumara,is located in,lusaka zambia
staff member,wrote to,ambassador negroponte
staff member,had chat with,friends
mr mzumara,was recipient of,email to ambassador negroponte
staff member,responded via email to,mr mzumara
mr mzumara,concurred with,staff member
mr mzumara,pointed out to,staff member
mr mzumara,expressed concern to,staff member
staff member,stated in email,thanks
case,was shelved by,lady who broadcasted the message
lady who broadcasted the message,wrote to,white house
lady who broadcasted the message,wrote to,vice presidents of the usa
internal justice system,would have kept,everything within the system
negroponte,is in,un secretariat
negroponte,would do,damage control
ladies,will continue writing to,human rights organizations
hiwot abebe,sent an email to,president of the united states of america
hiwot abebe,sent an email to,vicepresident of the united states of america
hiwot abebe,sent an email to,senator john kerry
hiwot abebe,sent an email to,senator dodd
hiwot abebe,addressed email to,executive secretary of eca
email,had an attachment,document titled crimes of rape and maladministration
document titled crimes of rape and maladministration,was addressed to,executive secretary of eca
executive secretary of eca,failed to take action against,staff members
staff members,were alleged to have,sexually harassed and raped ten women staff members of eca
hiwot abebe,was asking,american government
american government,to intervene on behalf of,aggrieved women
email,was copied to,staff member
email,was copied to,other persons working in the organization
senator john kerry,is a member of,united states senate
senator dodd,is a member of,united states senate
eca,is an organization of,senior officials
senior officials,are part of,eca complex
secretarygeneral,is part of,ethiopian foreign ministry
ethiopian foreign ministry,is part of,un system
investigations division,received,emails
emails,sent to,persons external to the organization
wrongdoings,committed at,economic commission for africa
staff member,was a,author of the emails
investigation,was conducted,revelation
staff member,sent emails to,his excellency ambassador john negroponte
ambassador john negroponte,of,us mission to the un
president,and,vicepresident of the united states of america
senator john kerry,and,senator dodd
senator dodd,of,united states senate
staff members,exercise,utmost discretion
staff members,communicate,any government entity
staff members,communicate,any other source
staff members,know,information
information,known to,them
information,ought to have known by,them
information,has not been made public,N/A
obligations,do not cease upon,separation from service
methodology,entails,obtaining and analyzing relevant documents
staff members,were interviewed,N/A
staff member,worked in,eca
staff member,worked at,p5 level
staff member,retired at,the end of November 2003
staff member,worked for,the organization
staff member,worked for,over 25 years
hiwot abebe,sent email to,president of the united states of america
hiwot abebe,sent email to,vicepresident of the united states of america
hiwot abebe,sent email to,senator john kerry
hiwot abebe,sent email to,senator dodd
hiwot abebe,sent email to,executive secretary of eca
email,had attachment,document titled crimes of rape and maladministration
document titled crimes of rape and maladministration,was copied to,secretarygeneral ethiopian foreign ministry
document titled crimes of rape and maladministration,was copied to,senior officials in the un system
senior officials of eca,perpetrated,sexual harassment and rape
senior officials of eca,perpetrated,crimes of rape and maladministration
acgd officer,told,idoios
official 2,asked,acgd officer
acgd officer,paid,participants of the seychelles conference
eca,wrote to,undp mauritius
undp mauritius,asked,undp hq
undp hq,requested,authority to transfer funds
undp hq,transferred funds to,barclays in seychelles
acgd officer,cashed,funds
acgd officer,disbursed,dsa to participants
acgd officer,paid,first group of participants
first group of participants,was present with,undp officer
acgd officer,indicated,payment to participants
barclays,paid,other participants
other participants,used,attendance list
bank tellers,had,participant sign name
bank tellers,paid,dsa
acgd officer,was present when,bank tellers paid remaining participants
attendance list,was returned to,acgd officer
acgd officer,explained,discrepancies
bank employee,might have tampered with,dsa list
bank employee,forged,signatures of participants
bank employee,pocketed,dsa
acgd officer,dealt with,manager
acgd officer,dealt with,teller
acgd officer,dealt with,gobetween person
gobetween person,could have falsely signed,dsa list
acgd officer,witnessed,payments being made by bank staff
acgd officer,had not raised,questions or concerns
idoios investigators,questioned,acgd officer
acgd officer,claimed to be surprised by,discrepancies
acgd officer,acknowledged,received memoranda from official 4
official 4,asked,acgd officer to account for moneys
acgd officer,thought that the matter had been settled,unaccounted discrepancies
unep staff member 2,received appointment with,pcau
unep staff member 2,began work for,btf
unep staff member 1,received contracts with,unep
unep staff member 2,received contracts with,unep
unep management,advised,idoios
unep staff member 1,performed well,unep management
unep staff member 2,performed well,unep management
unep staff member 1,did not have,requisite educational background
unep staff member 2,had little,environmental expertise
unep staff member 2,consultancy with,btf
investigations division of the office of internal oversight services,received,report of alleged wrongdoing
report of alleged wrongdoing,involved in,balkans task force
report of alleged wrongdoing,involved in,postconflict assessment unit
balkans task force,part of,united nations environment programme
postconflict assessment unit,part of,united nations environment programme
united nations environment programme,has,two staff members
united nations environment programme,has,consultant
unep staff member 1,worked with,unep staff member 2
unep staff member 1,worked with,uneppcau consultant
unep staff member 2,worked with,uneppcau consultant
unep staff member 1,created,conflict of interest
unep staff member 1,demanded,kickback
kickback,of,fifty percent of consultancy fees
consultancy fees,paid to,experts
consultancy fees,shared with,unep staff member 2
consultancy fees,shared with,uneppcau consultant
unep staff member 2,did not have a financial relationship with,uneppcau consultant
btf,had a series of contracts with,former company
btf,had extensions of those contracts with,former company
unep staff member 1,was a shareholder and senior officer of,former company
unep staff member 1,worked for,btf
unep staff member 1,held a consultancy contract with,unep
former company,had no contractual relationship with,unep
former company,created the appearance of a conflict of interest with,unep
idoios,learned,the former company
the former company,received,contracts
the former company,received,extensions of contracts
the former company,with,btf
btf,through,unops
unops,without,competitive bidding
competitive bidding,in violation of,financial regulation 12
financial regulation 12,states that,procurement functions
procurement functions,include,actions necessary for acquisition
actions necessary for acquisition,by,purchase or lease of property
actions necessary for acquisition,including,products
actions necessary for acquisition,including,real property
actions necessary for acquisition,including,services
services,including,works
general principles,shall be given,due consideration
general principles,when exercising,procurement functions
procurement functions,of,the united nations
idoios,finds,unep
idoios,finds,unops
unep,departed from,united nations rules and regulations
unops,departed from,united nations rules and regulations
irregularities,seem not to have been carried out in,bad faith
urgency of the situation,necessitated,btf
btf,become,operational
both organisations,should have taken,measures
measures,to rectify,the problems identified in the allegations
Pristina Airport,was entrusted to,Civil Administration Pillar II of UNMIK
Civil Administration Pillar II of UNMIK,included,Official 1
Civil Administration Pillar II of UNMIK,included,Official 2
Official 1,supervised,Department of Transport and Infrastructure (DoTI)
DoTI,was later known as,Transport Sector of the UNMIK Directorate of Infrastructure Affairs
Official 1,left,UNMIK
Official 2,was recruited by,DoTI
Official 2,was in charge of,Airport Operations
Official 2,reported to,Official 1
Official 2,continued in this role until,30-Sep-01
Engineering expertise,was provided by,Engineers seconded from the Armed Forces of a United Nations Member State
Engineers,included,Airport Engineer I
Engineers,included,Airport Engineer II
Engineers,included,Airport Engineer III
Consultant,was from,Consulting Firm
Responsibility for the administration of the airport,passed from,Pillar II
Responsibility for the administration of the airport,passed to,Kosovo Trust Agency (KTA)
Pillar IV,was involved with,KTA
Divisional Manager,was appointed at,Airport Sector KTA
Divisional Manager,had under him,PEAP Official
Divisional Manager,had under him,Air Traffic Control Services (ATCS) Official
Pristina International Airport,was handed over to,Civilian Jurisdiction
Civilian Jurisdiction,was under,ICAO Regulations
itf,interviews with,airport personnel
icaa,required to follow,unmik procurement protocols
kta internal audit department staff member,confirmed,no breaches of kta rules
kta rules,related to,unmik procurement rules
unmik procurement rules,related to,agreement
icaa,purchase of,new policy
itf,concludes that,unmik procurement rules
unmik,agreement with,icaa
icaa,for,government of iceland
itf,report that,comprehensive policy documents
icaa,provided,comprehensive policy documents
previous insurance policy,has been,cancelled
ITF,received information alleging,unmik procurement procedures
unmik,obtained insurance,insurance no 0216104
unmik,assistance from,Icelandic Civil Aviation Administration
unmik,agreement with,ICAA
ICAA,specified procedures for,unmik
unmik,provide evidence to,Iceland
ICAA,will provide assistance in,acquiring liability insurance
ICAA,will use results from,similar activities for acquiring liability insurance
activities,performed in,Iceland
investigation task force,has been investigating,allegation regarding administrative irregularities
insurance coverage,for,pristina airport
londonbased company,purchased,insurance company 1
insurance company 1,provided,insurance coverage
unmik pillar ii,provided documentation to,kosovo trust agency
kosovo trust agency,provided documentation to,public enterprise airport pristina
itf,determined,responsible manager
responsible manager,did not undertake efforts,international tenders
international tenders,for,airports insurance coverage
manager,did not prepare,international tender
manager,concluded,contract in favour of insurance company 1
contract,effected,insurance coverage pertaining to pristina international airport
conduct,demonstrates,probable cause
issue,should be determined by,department of justice
vendor 1,sent,letter of complaint
vendor 1,competed for,tender
tender,awarded to,vendor 1
vendor 1,alleged existence of,rumours
vendor 1,alleged existence of,witnesses
procurement officer 1,bribed by,vendor 2
finance officer,bribed by,vendor 2
vendor 1 manager,intended to seek,legal action
legal action,against,procurement officer 1
procurement officer 1,violated,procurement rules
procurement officer 1,replaced,member of bid evaluation committee
finance officer,allowed to sit on,bid evaluation committee
finance officer,favoured,vendor 2
vendor 1 manager,competed against,vendor 2
procurement officer 1,managed,competitive tender
procurement officer 1,convened,bid opening committee
bid opening committee,comprised,members of the various airport work groups
bid opening committee,comprised,representatives of the three bidding companies
vendor 1,submitted,bids
vendor 2,submitted,bids
vendor 3,submitted,bids
procurement officer 1,chaired,bid opening committee
procurement officer 1,formed,bid evaluation committee
bid evaluation committee,assessed,offerings of the competitors
offerings of the competitors,comprised,a range of uniforms and accessories
bid evaluation committee,decided,vendor 2
vendor 2,was,median bidder
vendor 1,was,highest bidder
committee,resolved,vendor 2
vendor 2,would be approached to determine,feasibility of nocost design changes
committee,reconvened,request of pristina airport official
pristina airport official,announced,cancellation of the tender
pristina airport official,awarded,singlesource procurement contract
singlesource procurement contract,for,summer uniforms
summer uniforms,for,newly hired staff
singlesource procurement contract,in the amount of,106059
vendor 1,had supplied,uniforms to the airport
vendor 1,under,two previous contracts
procurement officer 1,replaced,committee member 2
committee member 1,had not been at work on,the day that the committee first convened
committee member 1,confirmed,procurement officer 1's explanation
committee member 2,attended,the second session
procurement officer 1,included,finance officer
finance officer,participated on,the bid evaluation committee
procurement officer 1,nominated,finance officer
pristina airport official,nominated,finance officer
kta legal staff,advised,the itf
kta legal staff,questioned,the wisdom of allowing a representative of the finance department to participate in bid evaluations
section 2392 of finance administration instruction no 21999,precludes,an approving officer from serving as a tender evaluator
finance officer,was not,an approving officer
finance officer,was not prevented from serving as,an evaluator
procurement officer 1,accepted bribes from,vendor 2
procurement officer 1,accepted bribes from,vendor 1
finance officer,accepted bribes from,vendor 2
finance officer,accepted bribes from,vendor 1
vendor 1 manager,heard rumours in,pristina coffee bars
vendor 1 manager,referred to,witnesses
vendor 2 employee,attended,meeting of the bid opening committee
vendor 2 manager,told,itf
vendor 2 director,told,itf
procurement officer 1,denied accepting,bribes
finance officer,denied accepting,bribes
Pristina Airport,was entrusted to,Civil Administration Pillar II of UNMIK
Civil Administration Pillar II of UNMIK,included,Official 1
Civil Administration Pillar II of UNMIK,included,Official 2
Civil Administration Pillar II of UNMIK,supervised,Department of Transport and Infrastructure (DoTI)
Official 1,was known as,Transport Sector of the UNMIK Directorate of Infrastructure Affairs
Official 1,left,UNMIK
Official 2,was recruited by,DoTI
Official 2,was in charge of,Airport Operations
Official 2,reported to,Official 1
Official 2,continued in this role until,30-Sep-01
Engineering expertise,was provided by,a series of engineers
Engineers,were seconded from,Armed Forces of a United Nations Member State
Engineers,included,Airport Engineer 1
Engineers,included,Airport Engineer 2
Engineers,included,Airport Engineer 3
Engineering expertise,was later provided by,Consultant from the Consulting Firm
vendor 1,has,manufacturer
vendor 1,is located in,Peja
vendor 2,provided,incomplete offer
procurement officer,is a member of,evaluation committee
procurement officer,stated,vendor 2 submitted an offer
offer,did not contain,required articles
procurement officer,was asked,why explanation was not put in tender evaluation
evaluation committee,signed,evaluation report
evaluation committee,would have been aware of,reason for vendor 2's rejection
Pristina Airport,was entrusted to,Civil Administration Pillar II of UNMIK
Civil Administration Pillar II of UNMIK,includes,Official 1
Civil Administration Pillar II of UNMIK,includes,Official 2
Department of Transport and Infrastructure (DoTI),was involved in,Official 1
DoTI,was later known as,Transport Sector of UNMIK Directorate of Infrastructure Affairs
Official 1,left,UNMIK
Official 2,was recruited by,DoTI
Official 2,was in charge of,Airport Operations
Official 2,reported to,Official 1
Official 2,continued in this role until,30-Sep-01
Engineering expertise,was provided by,Engineers seconded from UN member states army
Engineers,included,Airport Engineer 1
Engineers,included,Airport Engineer 2
Engineers,included,Airport Engineer 3
Engineering expertise,was later provided by,Consultant from the Consulting Company
Pristina Airport,was entrusted to,Civil Administration Pillar II of UNMIK
Civil Administration Pillar II of UNMIK,included,Official 1
Civil Administration Pillar II of UNMIK,included,Official 2
Department of Transport and Infrastructure (DoTI),was later known as,Transport Sector of UNMIK Directorate of Infrastructure Affairs
DoTI Official 1,left,UNMIK
DoTI Official 2,was recruited by,DoTI
DoTI Official 2,was in charge of,Airport Operations
DoTI Official 2,reported to,DoTI Official 1
DoTI Official 2,continued in this role until,30-Sep-01
Engineering expertise,was provided by,a series of engineers seconded from one UN member state's army
Airport Engineer 1,was seconded from,one UN member state's army
Airport Engineer 2,was seconded from,one UN member state's army
Airport Engineer 3,was seconded from,one UN member state's army
Consultant,was from,Consulting Company
Responsibility for the administration of the airport,passed from,Pillar II
Responsibility for the administration of the airport,passed to,Kosovo Trust Agency (KTA)
Pillar IV,was under,Divisional Manager
Divisional Manager,had under him/her,PEAP Official
Divisional Manager,had under him/her,Official 3
Pristina International Airport,was handed over to,Civilian Jurisdiction
Civilian Jurisdiction,was under,ICAO Regulations
uniforms,purchased,two further small quantities
invoices,dated,4-Jul-03
invoices,dated,5-Aug-03
tshirts,ordered,two quantities of 99 and 66
value,associated with,1188
value,associated with,792
peap official,stated,airport hired some students and temporary staff
tshirts,for,students and temporary staff
peap official,produced,two written requests
written requests,from,security official
written requests,dated,1-Jul-03
written requests,dated,1-Aug-03
peap official,stated,airport
airport,ran out of,tshirts
airport,purchased,same company
same company,provides,same design of tshirt
explanation,is not,credible one
explanation,suggests,airport
airport,did not have,idea
idea,as to,numbers of temporary staff
numbers of temporary staff,being taken on,three months
case,indicates,poor management
two orders,were placed to avoid,competitive bidding procedure
limit,for,single source procurements
single source procurements,was,1250
vendor 3,won,tender for the provision of summer uniforms
vendor 3,supplied,pristina airport
security official,asked,divisional manager
divisional manager,had conversation with,security official
security official,addressed requests to,peap official
peap official,is,superior of security official
requests,mention,security official speaking to divisional manager
requests,specify,shirts should be the same as previous shirts
previous shirts,belong to,existing workers
security official,requested,uniforms for student workers
investigation,conducted pursuant to,executive decision no 200316
investigation task force,conducted,enquiry
itf investigators,conducted,interviews
itf investigators,obtained,documents
documents,from,pristina airport administration
documents,from,pillar iv administration
pristina international airport,constitutes,state owned enterprise
pristina international airport,under,yugoslavian law
assets of the airport,include,runways
assets of the airport,include,terminal buildings
assets of the airport,include,hangar
assets of the airport,include,fuel storage facilities
assets of the airport,include,equipment
public enterprise airport pristina,maintained by,military units of the kosovo force
military units of the kosovo force,pursuant to,united nations security council resolution 1244
united nations security council resolution 1244,dated,10-Jun-99
unmik regulation no 11999,dated,25-Jul-99
unmik,mandated to administer,territory of kosovo
unmik,includes,state owned and publicly owned assets
unmik,includes,pristina international airport
bid evaluation report,dated,6-Dec-02
8 firms,were issued with,documents
4 bids,were submitted,bids
bids,were opened on,27-Nov-02
vendor 3,offer,157060
vendor 1,bid amount,80198
vendor 2,bid amount,86850
vendor 1,rejected,bid
evaluation committee,asked,vendor 1
vendor 1,failed to produce,specimen of each type of uniform
letter,to,vendor 1
letter,dated,27-Nov-02
letter,delivered to,vendor 3
investigation,conducted pursuant to,executive decision no 200316
investigation task force,conducted,enquiry
itf investigators,conducted,enquiry
enquiry,into,allegations
allegations,raised by,interviews
interviews,with,persons indicated to be witnesses
persons indicated to be witnesses,and,persons potentially implicated
documents,obtained from,pristina airport administration
documents,obtained from,pillar iv
documents,analysed for relevance to,inquiry
pristina international airport,constitutes,state owned enterprise
pristina international airport,under,yugoslavian law
assets of the airport,include,runways
assets of the airport,include,terminal buildings
assets of the airport,include,hanger
assets of the airport,include,fuel storage facilities
assets of the airport,include,equipment
public enterprise airport pristina,maintained by,military units of the kosovo force
military units of the kosovo force,pursuant to,united nations security council resolution 1244
united nations security council resolution 1244,dated,10-Jun-99
unmik regulation no 11999,dated,25-Jul-99
unmik,mandated to administer,territory of kosovo
unmik,includes,state owned and publicly owned assets
state owned and publicly owned assets,includes,pristina international airport
peap official,denied,vendor 2 representative
vendor 2 representative,granted,itf
itf,acted on,peap official's request
peap official,bears,overall responsibility
peap official,responsible for,hisher department peap
investigation,proved,peap official did not fully meet requirements
entire matter,has to be seen as,administrative irregularity
international procurement rules,had been breached,none
procurement regulation,was in force at that time,financial agreement 19992
financial agreement 19992,does not indicate,cases like described before
possible case of corruption,there are not enough indications,none
official,supported,procurement process
procurement process,for,flat information display system (FIDS)
vendor 1,able to supply,FIDS
vendor 1,not able to,cable the FIDS
tender,launched for,FIDS cabling
vendor 2,winner of,tender
single source procurement,started on,17-Oct-02
vendor 2 representative,provided,written recommendation and justification
purchase of additional FIDS,became necessary because of,expansion of passenger terminal building
existing system,provided by,vendor 1
airport management,decided to choose,vendor 1
capital expenditure approval,signed on,13-Dec-02
procurement file,does not show,why vendor 1 only delivered FIDS
need for cabling,resulted in,another tender
tender,commenced in,Mar-04
vendor 2,won,competitive shopping tender
competitive shopping tender,amount,15919 euro
airport engineer,interviewed on,11-Oct-04
airport engineer,responsible for,airport management
airport engineer,not involved in,fids purchase
airport engineer,did not request,vendor 2 representative
airport engineer,recommended,cabling of the fids
airport engineer,noted to,airport management
procurement unit,responsible for,following procedures
sales manager of vendor 1,interviewed on,30-Aug-04
sales manager of vendor 1,asked why,vendor 1 did not provide cabling
vendor 1 management,did not allow,traveling to Kosovo
sales manager of vendor 1,mentioned,airport's contact person
airport's contact person,with regard to,fids cabling
airport engineer,recommended,cabling of the fids
Pristina Airport,alleged administrative irregularity regarding,X-ray tender
Divisional Manager,approved and signed a contract between,Pristina Airport
Divisional Manager,approved and signed a contract between,Vendor
Pristina Airport,launched an international tender to supply,X-ray equipment
Evaluation Committee,awarded the contract to,Vendor
Vendor,is acknowledged as,world-class company
Contract,was concluded between,Pristina Airport
Contract,was concluded between,Vendor
KTA Internal Auditor 1,expressed concerns over,conclusion of the contract
KTA Official 1,signed the contract,Contract
Capital Expenditure Approval,was signed by,KTA Official 2
airport handling services department,calculated,charges
charges,scrutinized against,published price list
published price list,issued on,1-Jan-02
load sheets,recorded,handling charge of 1074 euros
handling charge of 1074 euros,found to be,correct
landing charge of 67644,reduced by,50
flight,identified as,humanitarian flight
humanitarian flight,qualified for,discount
official of the passenger handling services,told,itf investigators
itf investigators,regarded,returning kosovars as refugees
discount,considered,appropriate
itf investigators,checked,matter with official of the airport general services
official of the airport general services,confirmed,awareness of discount
official of the airport general services,did not dispute,interpretation of the flight
airline,avoids,charges
charges,levied by,pristina airport
charges,applied to,airline flights
airline flights,are in accordance with,listed charges for services
flight,is a matter for,airport pristina management
airport pristina management,ensures compliance with,airport charges
senior official,of,pristina airport
senior official,was advised by,itf
itf,provided information to,senior official
charges,shown in,price list for basic airport services
price list for basic airport services,correspond with,charges to the airline
audit trail,shows,no discrepancies
ITF,reviewed,conventional checkin procedures
conventional checkin procedures,at,Pristina airport
Pristina airport,confirmed,observations
senior official,of,Pristina airport
management letter,dated,May-04
management letter,on,2003 financial audit
auditing company,provided,management letter
new system,will achieve,full integration
passenger and baggage checkin and boarding,is connected to,load sheet
load sheet,contains,relevant facts concerning the flight
load sheet,includes,type and quantity of passengers
report,is signed by,airport load control staff
headcount,on board,aircraft
aircraft staff,conducted,headcount
pilot,signed,confirmed report
confirmed report,is used as,basis for invoicing
information,will be retrieved by,new system
